10 Second Ninja X,"Win, PS4, XBO, PSVita"
Rez Infinite,"PS4, PlayStation VR"
RIGS: Mechanized Combat League,PlayStation VR
Ripcoil,Oculus Rift
Rise of the Tomb Raider,Win
Rise of the Tomb Raider: 20 Year Celebration,PS4
Rive,"Win, PS4"
Robinson: The Journey,PlayStation VR
Rocket League,XBO
Rocketbirds 2: Evolution,"PS4, PSVita"
Rocksmith 2014 Edition – Remastered,"Win, PS4, XBO"
Rogue Stormers,Win
Rollercoaster Dreams,"PS4, PlayStation VR"
RollerCoaster Tycoon World,Win
ROM: Extraction,"HTC Vive, Oculus Rift"
Romance of the Three Kingdoms 13,"Win, PS4"
Root Letter,"PS4, PSVita"
Rugby Challenge 3,"PS4, PS3, XBO, X360"
Runbow,Win
Runner2: Future Legend of Rhythm Alien,PS4
SaGa: Scarlet Grace,PSVita
Salt and Sanctuary,PS4
Salt and Sanctuary,Win
Samorost 3,"Win, Mac"
Samurai Warriors: Sanada Maru,"PS3, PS4, PSVita"
Savage Resurrection,Win
Sébastien Loeb Rally Evo,"Win, PS4, XBO"
Sega 3D Classics Collection,3DS
Sengoku Jidai: Shadow of the Shogun,Win
Senran Kagura Shinovi Versus,Win
Senran Kagura: Bon Appetit! Full Course,Win
Seraph,Win
Seraph,PS4
Severed,PSVita
Shadow Complex Remastered,XBO
Shadow Complex Remastered,"Win, PS4"
Shadow of the Beast,PS4
Shadow Tactics: Blades of the Shogun,"Win, Mac, Lin"
Shadow Warrior 2,Win
Shadwen,"Win, PS4"
Shantae and the Pirate's Curse,XBO
Shantae: Half-Genie Hero,"Win, PS4, PSVita, WiiU, XBO"
Shardlight,Win
Sheltered,"Win, PS4, XBO"
Shenzhen I/O,"Win, Mac, Lin"
Sherlock Holmes: The Devil's Daughter,Win
Shin Megami Tensei IV: Apocalypse,3DS
Shin Megami Tensei IV: Apocalypse,3DS
Shiny,"Win, XBO"
Shu,"Win, PS4"
Silence,Win
Skullgirls 2nd Encore,PSVita
Skylanders: Imaginators,"PS3, PS4, Wii U, X360, XBO"
Slain!,Win
Slain: Back from Hell,PS4
Slain: Back from Hell,XBO
Slashy Souls,"iOS, Droid"
Sleeping Dogs: Definitive Edition,Mac
"Small Radios, Big Televisions","Win, PS4"
Smashing the Battle,Oculus Rift
Smashing the Battle,Win
Smite,PS4
Soft Body,"Win, PS4"
Song of the Deep,"Win, PS4, XBO"
Sonic Boom: Fire & Ice,3DS
Sorcery!,"Win, Mac"
Sorcery! Part 3: The Seven Serpents,"Win, Mac"
Soul Axiom,"Win, Mac"
Space Hulk: Deathwing,Win
Space Rangers: Quest,Win
SpeedRunners,Win
Sports Bar VR,Oculus Rift
SportsBarVR,PlayStation VR
Star Fox Guard,WiiU
Star Fox Zero,WiiU
Star Ocean: Integrity and Faithlessness,PS4
Star Ocean: Integrity and Faithlessness,PS4
Star Trek Online,"PS4, XBO"
Starbound,"Win, Mac, Lin"
Stardew Valley,Win
Stardew Valley,"Mac, Lin"
Stardew Valley,PS4
Stardew Valley,XBO
Starly Girls: Episode Starsia,"iOS, Droid"
SteamWorld Heist HD,"Win, Mac, Lin, PS4, PSVita"
Steep,"Win, PS4, XBO"
Steins;Gate 0,Win
Steins;Gate 0,"PS4, PSVita"
Stellaris,"Win, Mac, Lin"
Stephen's Sausage Roll,"Win, Mac, Lin"
Stikbold! A Dodgeball Adventure,Win
Stikbold! A Dodgeball Adventure,PS4
Stikbold! A Dodgeball Adventure,XBO
Stories: The Path of Destinies,"Win, PS4"
Stranger of Sword City,XBO
Stranger of Sword City,PSVita
Street Fighter V,"Win, PS4"
Strike Vector EX,PS4
Style Savvy: Fashion Forward,3DS
Super Dungeon Bros,"Win, PS4, XBO"
Super Mario Maker for Nintendo 3DS,3DS
Super Mario Run,iOS
Super Meat Boy,WiiU
Super Robot Wars Original Generation: The Moon Dwellers,"PS3, PS4"
Super Stardust Ultra VR,PlayStation VR
Superdimension Neptune VS Sega Hard Girls,PSVita
Superhot,"Win, Mac, Lin"
Superhot,XBO
Superhypercube,PlayStation VR
Sword Art Online: Hollow Realization,"PS4, PSVita"
Sword Coast Legends,"PS4, XBO"
Syndrome,Win
Table Top Racing: World Tour,Win
Tahira: Echoes of the Astral Empire,"Win, Mac, Lin"
Tales of Berseria,"PS4, PS3"
Tales of Symphonia HD,Win
TASTEE: Lethal Tactics,Win
Teenage Mutant Ninja Turtles: Mutants in Manhattan,"Win, PS4, PS3, XBO, X360"
Tempest,"Win, Mac"
Terraria,WiiU
Teslagrad,XBO
Tethered,PlayStation VR
Tharsis,"Win, PS4"
"That Dragon, Cancer","Win, Mac, Droid"
The Amnesia Collection,PS4
The Assembly,"Win, Oculus Rift, HTC Vive"
The Assembly,PlayStation VR
The Banner Saga,"PS4, XBO"
The Banner Saga 2,"Win, Mac"
The Banner Saga 2,XBO
The Banner Saga 2,PS4
The Bunker,"Win, PS4"
The Bunker,XBO
The Climb,Oculus Rift
The Deadly Tower of Monsters,"Win, PS4"
The Dwarves,"Win, Mac, Lin, PS4, XBO"
The Elder Scrolls V: Skyrim — Special Edition,"Win, PS4, XBO"
The Escapists: The Walking Dead,PS4
The Final Station,"Win, PS4, XBO"
The Flame in the Flood,"Win, Mac, XBO"
The Gallery: Episode 1 — Call of the Starseed,HTC Vive
The Girl and the Robot,Win
The Guest,Win
The Huntsman: Winter’s Curse,PS4
The King of Fighters XIV,PS4
The Last Guardian,PS4
The Legend of Heroes: Trails of Cold Steel II,"PS3, PSVita"
The Legend of Zelda: Twilight Princess HD,WiiU
The Little Acre,"Win, PS4, XBO"
The Metronomicon,"Win, Mac"
The Park,"PS4, XBO"
The Silver Case,Win
The Silver Case,Mac
The Solus Project,"Win, XBO"
The Technomancer,"Win, PS4, XBO"
The Town of Light,"Win, Mac, Lin"
The Turing Test,"Win, XBO"
The Unspoken,Oculus Rift
The Walking Dead: Michonne: Episode 1 — In Too Deep,"Win, PS3, PS4, X360, XBO"
The Walking Dead: Michonne: Episode 2 — Give No Shelter,"Win, PS3, PS4, X360, XBO"
The Walking Dead: Michonne: Episode 3 — What We Deserve,"Win, PS3, PS4, X360, XBO, iOS, Droid"
The Walking Dead: Season Three — Episode 1 & 2: Ties That Bind,"Win, Mac, PS3, PS4, X360, XBO, iOS, Droid"
The Westport Independent,Win
The Witch and the Hundred Knight: Revival Edition,PS4
The Witness,"Win, PS4"
